Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 20:24:16:775,0,-9.44208,-1.93898,89.1087
2023-03-11 20:24:16:785,0,-9.45371,-1.94912,89.0983
2023-03-11 20:24:16:795,0,-9.46593,-1.95412,89.0853
2023-03-11 20:24:16:806,0,-9.48037,-1.9591,89.0686
2023-03-11 20:24:16:815,0,-9.4941,-1.95927,89.0496
2023-03-11 20:24:16:825,0,-9.50967,-1.95896,89.0306
2023-03-11 20:24:16:835,0,-9.52582,-1.95307,89.0085
2023-03-11 20:24:16:845,0,-9.53916,-1.94428,88.9884
2023-03-11 20:24:16:855,0,-9.54795,-1.92844,88.9676
2023-03-11 20:24:16:865,0,-9.55508,-1.91668,88.945
2023-03-11 20:24:16:875,0,-9.55496,-1.90584,88.9208
2023-03-11 20:24:16:885,0,-9.55207,-1.88792,88.8997
2023-03-11 20:24:16:895,0,-9.55085,-1.87329,88.8794
2023-03-11 20:24:16:905,0,-9.54502,-1.85721,88.8615
2023-03-11 20:24:16:915,0,-9.54041,-1.84493,88.8464
2023-03-11 20:24:16:925,0,-9.53497,-1.83521,88.8324
2023-03-11 20:24:16:935,0,-9.52788,-1.82231,88.8198
2023-03-11 20:24:16:945,0,-9.51966,-1.81337,88.8111
2023-03-11 20:24:16:955,0,-9.51078,-1.80587,88.8055
2023-03-11 20:24:16:965,0,-9.49935,-1.79702,88.8013
2023-03-11 20:24:16:975,0,-9.4886,-1.78549,88.7954
2023-03-11 20:24:16:985,0,-9.47148,-1.77536,88.7879
2023-03-11 20:24:16:995,0,-9.45698,-1.76598,88.7839
2023-03-11 20:24:17:6,0,-9.4381,-1.76301,88.7831
2023-03-11 20:24:17:16,0,-9.41767,-1.7567,88.7782
2023-03-11 20:24:17:26,0,-9.39971,-1.75469,88.7741
2023-03-11 20:24:17:35,0,-9.37774,-1.75594,88.7725
2023-03-11 20:24:17:45,0,-9.35495,-1.76549,88.772
2023-03-11 20:24:17:55,0,-9.33569,-1.78078,88.7775
2023-03-11 20:24:17:65,0,-9.3222,-1.79942,88.783
2023-03-11 20:24:17:75,0,-9.31858,-1.81827,88.7954
2023-03-11 20:24:17:85,0,-9.31821,-1.83403,88.8081
2023-03-11 20:24:17:95,0,-9.31961,-1.84452,88.8226
2023-03-11 20:24:17:105,0,-9.32287,-1.85643,88.8398
2023-03-11 20:24:17:115,0,-9.32352,-1.8645,88.8608
2023-03-11 20:24:17:125,0,-9.32453,-1.87415,88.8799
2023-03-11 20:24:17:135,0,-9.32453,-1.88032,88.9024
2023-03-11 20:24:17:145,0,-9.3207,-1.8887,88.9223
2023-03-11 20:24:17:155,0,-9.31915,-1.89268,88.9339
2023-03-11 20:24:17:165,0,-9.31921,-1.89638,88.9412
2023-03-11 20:24:17:175,0,-9.32011,-1.90335,88.9415
2023-03-11 20:24:17:185,0,-9.32402,-1.90617,88.9362
2023-03-11 20:24:17:195,0,-9.32876,-1.90707,88.92
2023-03-11 20:24:17:206,0,-9.33785,-1.91036,88.9031
2023-03-11 20:24:17:215,0,-9.35105,-1.90774,88.8787
2023-03-11 20:24:17:226,0,-9.37097,-1.90387,88.8468
2023-03-11 20:24:17:236,0,-9.39052,-1.90019,88.8156
2023-03-11 20:24:17:246,0,-9.40555,-1.89394,88.7819
2023-03-11 20:24:17:256,0,-9.41583,-1.88405,88.7497
2023-03-11 20:24:17:266,0,-9.42228,-1.87524,88.7179
2023-03-11 20:24:17:276,0,-9.42394,-1.86078,88.6827
2023-03-11 20:24:17:286,0,-9.41722,-1.84352,88.6529
2023-03-11 20:24:17:295,0,-9.41266,-1.82831,88.6272
2023-03-11 20:24:17:305,0,-9.40862,-1.81463,88.6064
2023-03-11 20:24:17:316,0,-9.40655,-1.80301,88.5927
2023-03-11 20:24:17:326,0,-9.40969,-1.79215,88.5844
2023-03-11 20:24:17:335,0,-9.4139,-1.78215,88.5851
2023-03-11 20:24:17:346,0,-9.4259,-1.77908,88.5895
2023-03-11 20:24:17:355,0,-9.44035,-1.7733,88.6026
2023-03-11 20:24:17:365,0,-9.45042,-1.76918,88.6162
2023-03-11 20:24:17:376,0,-9.45572,-1.76933,88.6329
2023-03-11 20:24:17:385,0,-9.4585,-1.7716,88.6499
2023-03-11 20:24:17:396,0,-9.45877,-1.77758,88.6637
2023-03-11 20:24:17:405,0,-9.46047,-1.79176,88.6769
2023-03-11 20:24:17:415,0,-9.46065,-1.80781,88.6859
2023-03-11 20:24:17:425,0,-9.46616,-1.82672,88.6943
2023-03-11 20:24:17:435,0,-9.47715,-1.85264,88.7021
2023-03-11 20:24:17:445,0,-9.494,-1.87906,88.7064
2023-03-11 20:24:17:455,0,-9.50998,-1.90349,88.7101
2023-03-11 20:24:17:465,0,-9.51984,-1.92751,88.713
2023-03-11 20:24:17:475,0,-9.52008,-1.94885,88.7185
2023-03-11 20:24:17:486,0,-9.50317,-1.96745,88.7235
2023-03-11 20:24:17:496,0,-9.47413,-1.98467,88.7326
2023-03-11 20:24:17:506,0,-9.4361,-2.0034,88.7488
2023-03-11 20:24:17:516,0,-9.39975,-2.0158,88.7711
2023-03-11 20:24:17:526,0,-9.36605,-2.02472,88.7989
2023-03-11 20:24:17:536,0,-9.33974,-2.02088,88.8267
2023-03-11 20:24:17:546,0,-9.31648,-2.00897,88.8495
2023-03-11 20:24:17:555,0,-9.30271,-1.99338,88.8658
2023-03-11 20:24:17:566,0,-9.29981,-1.97579,88.8775
2023-03-11 20:24:17:575,0,-9.29706,-1.96377,88.8778
2023-03-11 20:24:17:586,0,-9.28726,-1.9467,88.8714
2023-03-11 20:24:17:595,0,-9.27579,-1.93223,88.8575
2023-03-11 20:24:17:606,0,-9.25686,-1.9257,88.8351
